trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20231103,10.49,10.52,10.43,10.48,10.48,0.0,0.0,705463.47,738879.704
20231102,10.5,10.6,10.47,10.48,10.48,0.0,0.0,619429.95,652316.67
20231101,10.55,10.56,10.45,10.48,10.46,0.02,0.1912,567300.35,595211.885
20231031,10.43,10.49,10.41,10.46,10.45,0.01,0.0957,652855.23,682212.138
20231030,10.4,10.47,10.35,10.45,10.45,0.0,0.0,805689.55,837646.002
20231027,10.38,10.48,10.33,10.45,10.41,0.04,0.3842,919771.36,957587.534
20231026,10.31,10.42,10.3,10.41,10.38,0.03,0.289,599991.47,621915.277
20231025,10.51,10.54,10.36,10.38,10.55,-0.17,-1.6114,1411449.68,1470971.924
20231024,10.54,10.61,10.44,10.55,10.5,0.05,0.4762,760652.69,801528.404
20231023,10.59,10.6,10.43,10.5,10.6,-0.1,-0.9434,530404.48,557032.229
20231020,10.55,10.67,10.51,10.6,10.6,0.0,0.0,526139.12,557618.632
20231019,10.91,10.92,10.59,10.6,10.95,-0.35,-3.1963,1188960.83,1271914.677
20231018,10.99,11.02,10.91,10.95,11.02,-0.07,-0.6352,651824.92,713979.896
20231017,11.01,11.05,10.96,11.02,11.01,0.01,0.0908,493525.05,543170.901
20231016,11.0,11.03,10.95,11.01,11.0,0.01,0.0909,501624.32,550988.72
20231013,11.03,11.07,10.95,11.0,11.11,-0.11,-0.9901,684483.08,753110.726
20231012,11.11,11.16,11.04,11.11,10.98,0.13,1.184,853057.5,947562.325
20231011,11.09,11.09,10.96,10.98,11.02,-0.04,-0.363,724115.69,797663.827
20231010,11.19,11.2,11.02,11.02,11.11,-0.09,-0.8101,820748.51,910160.342
20231009,11.16,11.17,11.06,11.11,11.2,-0.09,-0.8036,695828.09,772959.353
20230928,11.19,11.24,11.18,11.2,11.17,0.03,0.2686,520696.78,583649.73
20230927,11.15,11.22,11.15,11.17,11.16,0.01,0.0896,490310.61,547905.821
20230926,11.22,11.26,11.14,11.16,11.22,-0.06,-0.5348,444980.35,497885.811
20230925,11.24,11.32,11.19,11.22,11.24,-0.02,-0.1779,761211.25,856022.502
20230922,11.03,11.25,11.03,11.24,11.05,0.19,1.7195,911484.3,1017137.922
20230921,11.14,11.14,11.04,11.05,11.15,-0.1,-0.8969,843930.11,934673.194
20230920,11.2,11.22,11.15,11.15,11.21,-0.06,-0.5352,558872.41,624785.495
20230919,11.22,11.23,11.16,11.21,11.23,-0.02,-0.1781,503664.32,564044.044
20230918,11.22,11.24,11.14,11.23,11.22,0.01,0.0891,501325.01,561449.77
20230915,11.35,11.4,11.2,11.22,11.29,-0.07,-0.62,890476.13,1005529.161
20230914,11.28,11.33,11.25,11.29,11.25,0.04,0.3556,551650.17,622906.053
20230913,11.29,11.32,11.21,11.25,11.28,-0.03,-0.266,490217.97,551747.628
20230912,11.35,11.35,11.25,11.28,11.34,-0.06,-0.5291,495485.06,559058.536
20230911,11.3,11.4,11.27,11.34,11.27,0.07,0.6211,654485.58,741764.911
20230908,11.28,11.32,11.23,11.27,11.33,-0.06,-0.5296,479029.67,539624.963
20230907,11.4,11.44,11.32,11.33,11.43,-0.1,-0.8749,540041.57,613812.176
